Make,Model,Year,Mileage,Colour,NCT Expiry,Price,URL
BMW,3-Series,2008,250 km,Black,Mar 2024,"€8,199",https://www.donedeal.ie/cars-for-sale/bmw-325i-msport/35536428
BMW,3-Series,2009,"83,000 mi",Black,Nov 2023,"€6,999",https://www.donedeal.ie/cars-for-sale/bmw-320i-sport-coupe-2009-new-nct-lady-owner-low/35357282
BMW,3-Series,2008,"102,000 mi",Black,Feb 2024,"€7,950",https://www.donedeal.ie/cars-for-sale/bmw-320i-convertible-low-milage/35654220
BMW,3-Series,2008,"64,000 km",Black,Mar 2024,"€7,950",https://www.donedeal.ie/cars-for-sale/2008-bmw-318-msport-touring-only-64000kms/35302940
BMW,3-Series,2008,"166,500 km",Black,Dec 2024,"€12,500",https://www.donedeal.ie/cars-for-sale/2008-bmw-e92-335i-m-sport-306bhp/35636357
BMW,3-Series,2009,"108,500 km",Black,Mar 2024,"€8,950",https://www.donedeal.ie/cars-for-sale/2009-bmw-320i-m-sport-convertible-auto-low-km/35374740
BMW,3-Series,2008,"42,832 mi",Blue,Dec 2023,"€8,750",https://www.donedeal.ie/cars-for-sale/bmw-3-series-2008/35349958
BMW,3-Series,2008,---,---,---,No Price,https://www.donedeal.ie/cars-for-sale/2008-bmw-318i-1-0-ptl-est/33232679
BMW,3-Series,2008,"79,654 mi",Black,Jul 2023,"€5,300",https://www.donedeal.ie/cars-for-sale/bmw-3-series-2008/35269647
BMW,3-Series,2008,"158,000 km",Bronze,Mar 2024,"€3,000",https://www.donedeal.ie/cars-for-sale/bmw-3-series-2008/35473608
BMW,3-Series,2011,"77,000 mi",White,---,"£5,995",https://www.donedeal.ie/cars-for-sale/bmw-3-series-2-0-318i-m-sport-2d-141-bhp/35402847
BMW,3-Series,2008,"220,000 km",White,---,"€6,500",https://www.donedeal.ie/cars-for-sale/bmw-325i-m-sport-330i/35332225
BMW,3-Series,2008,"94,000 mi",Blue,Jan 2024,"€4,900",https://www.donedeal.ie/cars-for-sale/bmw-320i/34862265
