Make,Model,Year,Mileage,Colour,NCT Expiry,Price,URL
BMW,3-Series,2006,"122,777 mi",Grey,Jun 2023,"€1,950",https://www.donedeal.ie/cars-for-sale/bmw-318i-automatic-estate/35996630
BMW,3-Series,2005,"125,479 mi",Black,Aug 2019,"€1,500",https://www.donedeal.ie/cars-for-sale/2005-bmw-3-series/35995283
BMW,3-Series,2006,"163,820 mi",Grey,Jun 2024,"€2,500",https://www.donedeal.ie/cars-for-sale/bmw-318i-m-sport-saloon-nct/35369830
BMW,3-Series,2005,"219,600 km",Black,Mar 2024,"€5,250",https://www.donedeal.ie/cars-for-sale/bmw-e46-318ci-msport/35947846
BMW,3-Series,2006,"139,357 mi",Blue,Mar 2025,"€2,450",https://www.donedeal.ie/cars-for-sale/bmw-320i-2006-se-new-nct-3-25/35980852
BMW,3-Series,2008,"232,114 km",Grey,May 2022,"€3,250",https://www.donedeal.ie/cars-for-sale/bmw-coupe/35973683
BMW,3-Series,2006,"37,299 mi",White,May 2024,"€11,950",https://www.donedeal.ie/cars-for-sale/bmw-318ci-m-sport-auto-low-mileage/34223518
BMW,3-Series,2008,"118,000 mi",Blue,Feb 2024,"€4,900",https://www.donedeal.ie/cars-for-sale/bmw-3-series-coupe-automatic/35904235
BMW,3-Series,2008,"106,600 mi",Black,May 2024,"€6,950",https://www.donedeal.ie/cars-for-sale/2008-bmw-320i-se-convertible-manual/35873662
BMW,3-Series,2006,"112,999 mi",Silver,Jan 2024,€995,https://www.donedeal.ie/cars-for-sale/bmw-3-series-i-es-touring-se-zt3r-5dr/35941214
BMW,3-Series,2008,"205,000 km",Silver,Aug 2023,"€2,999",https://www.donedeal.ie/cars-for-sale/bmw-318i-se/35926774
BMW,3-Series,2007,"107,000 mi",Black,Oct 2024,"€5,150",https://www.donedeal.ie/cars-for-sale/bmw-320i-coupe-2-sets-of-wheels/35706653
BMW,3-Series,2007,"224,000 km",Blue,Dec 2022,"€3,200",https://www.donedeal.ie/cars-for-sale/bmw-320i-e92/35910657
BMW,3-Series,2007,"138,000 mi",Bronze,Nov 2024,"€5,500",https://www.donedeal.ie/cars-for-sale/bmw-e93-cabrio/35864863
BMW,3-Series,2008,82 mi,Black,May 2024,"€7,700",https://www.donedeal.ie/cars-for-sale/08-bmw-m-sport/35851415
BMW,3-Series,2008,---,Black,Jan 2024,"€7,500",https://www.donedeal.ie/cars-for-sale/bmw-320i-m-sport/34152208
BMW,3-Series,2008,"145,000 km",Beige,---,"€8,350",https://www.donedeal.ie/cars-for-sale/2008-bmw-320i-convertible-manual-bronze/34849445
BMW,3-Series,2008,"136,298 km",Blue,May 2024,"€8,750",https://www.donedeal.ie/cars-for-sale/-2008-bmw-convertible-auto-/35652003
BMW,3-Series,2007,"150,000 km",Black,Oct 2024,"€2,500",https://www.donedeal.ie/cars-for-sale/bmw-320i-new-nct-10-24/34776749
BMW,3-Series,2006,"103,380 mi",Blue,Sep 2023,"€9,950",https://www.donedeal.ie/cars-for-sale/rare-bmw-320si/34660608
BMW,3-Series,2006,"190,000 km",Green,Sep 2024,"€3,500",https://www.donedeal.ie/cars-for-sale/bmw-3-series-2006/35697087
BMW,3-Series,2006,"97,000 mi",Silver,May 2024,"€2,950",https://www.donedeal.ie/cars-for-sale/bmw-3-series-e90-320i-saloon/33428772
BMW,3-Series,2005,"60,000 km",Grey,Oct 2022,"€3,500",https://www.donedeal.ie/cars-for-sale/bmw/35399432
BMW,3-Series,2007,"96,000 mi",Silver,Sep 2024,"€3,750",https://www.donedeal.ie/cars-for-sale/2007-bmw-318i-petrol-only-96000-miles/35500558
BMW,3-Series,2007,"212,000 km",Grey,Feb 2024,"€3,500",https://www.donedeal.ie/cars-for-sale/bmw-318-e90-petrol-143-hp/35482948
BMW,3-Series,2006,---,Black,---,"€1,234",https://www.donedeal.ie/cars-for-sale/bmw-3-series-2006-breaking-for-parts/31940388
